Leto,Bosna in Hercegovina,Èrna gora,Kosovo,Severna Makedonija,Srbija,Avstrija,Bolgarija,Francija,Hrvaška,Italija,Nemèija,Slovaška,Združeno kraljestvo,Rusija,Švica,Ukrajina,Bosna in Hercegovina,Èrna gora,Kosovo,Severna Makedonija,Srbija,Avstrija,Bolgarija,Francija,Hrvaška,Italija,Nemèija,Slovaška,Združeno kraljestvo,Rusija,Švica,Ukrajina
2011,49,3,8,18,42,82,1,8,65,35,131,2,7,2,28,2,20,3,1,7,29,69,1,4,73,40,154,1,7,0,24,0
2012,64,5,21,18,51,156,0,15,94,42,280,0,17,1,73,1,52,6,13,10,44,147,0,12,96,56,334,1,13,0,53,0
2013,59,3,18,14,46,159,0,10,86,26,194,0,17,6,56,1,70,5,6,13,56,163,0,11,86,30,197,0,21,1,47,0
2014,42,1,5,5,22,225,0,8,69,22,161,0,22,2,71,1,38,1,1,7,30,167,0,12,80,26,144,0,11,0,63,1
2015,48,1,13,8,24,188,0,9,52,13,186,3,13,1,103,0,38,2,10,10,22,160,0,7,72,32,179,3,14,4,64,0
2016,29,4,5,8,23,179,0,8,50,18,166,1,21,1,97,1,26,3,4,6,37,163,0,6,50,28,132,1,8,0,70,0
2017,44,0,4,9,20,221,0,12,53,23,143,1,23,2,88,1,43,0,2,7,16,189,0,12,60,22,152,0,21,1,53,0
2018,30,0,4,4,9,125,1,5,48,14,128,1,18,2,73,0,34,1,2,3,14,133,0,5,42,21,113,0,16,0,42,0
2019,32,1,5,7,27,145,5,6,52,33,97,1,18,1,64,4,27,2,0,7,10,116,0,5,75,24,104,0,17,1,39,1
2020,25,0,6,4,13,96,0,6,57,25,96,0,16,1,46,0,25,1,2,4,13,120,0,10,53,25,96,0,11,0,25,0
2011,66,7,8,11,56,161,1,15,151,55,289,2,32,6,47,8,24,5,5,13,37,121,1,11,80,59,214,0,36,1,45,0
2012,104,14,17,21,102,315,3,28,154,71,559,2,64,4,120,3,58,15,8,10,68,238,1,27,148,82,494,2,55,1,89,0
2013,80,11,19,27,84,444,5,33,178,58,446,4,65,3,134,3,48,7,13,7,80,287,1,20,151,63,371,1,58,3,80,1
2014,46,5,10,18,52,659,4,21,139,60,421,3,82,2,171,2,27,5,4,6,31,426,1,17,106,70,293,1,65,1,91,0
2015,59,3,12,15,56,714,2,27,155,61,447,4,99,7,225,3,27,1,2,7,40,381,1,17,102,57,280,2,84,1,139,0
2016,54,5,7,12,67,754,2,23,127,60,485,10,100,6,268,0,14,2,5,5,29,474,0,12,92,48,318,1,112,1,154,1
2017,77,6,14,18,66,727,3,20,142,70,502,5,142,5,253,1,24,4,2,8,25,465,2,28,130,76,302,0,142,1,148,0
2018,47,3,5,10,38,530,1,16,88,54,372,1,78,3,172,1,14,1,4,2,26,278,1,19,86,51,202,0,77,1,109,0
2019,79,2,8,17,64,512,10,15,134,60,316,6,55,4,185,3,18,1,3,7,38,282,1,11,93,71,212,1,86,1,86,1
2020,39,4,9,10,31,389,0,12,148,61,251,8,41,4,136,2,11,5,0,6,21,267,1,13,125,72,183,5,52,0,73,0
2011,16,2,4,9,25,36,0,9,37,12,69,4,17,3,23,1,12,3,3,2,14,45,0,14,29,30,104,0,40,1,26,1
2012,19,6,3,6,34,75,1,21,42,25,161,2,46,5,41,1,16,7,4,4,29,104,1,22,49,43,218,1,60,3,48,0
2013,17,2,7,3,34,101,2,12,52,19,108,2,50,14,34,2,15,4,1,7,22,124,1,22,58,39,160,0,63,4,50,1
2014,15,4,5,7,16,152,1,10,41,21,149,1,75,10,48,1,7,3,3,3,16,214,0,21,47,40,182,3,102,1,71,1
2015,5,4,10,4,29,190,1,15,39,23,166,1,81,11,92,2,11,2,2,5,30,238,2,34,56,50,235,3,152,4,96,1
2016,12,0,7,4,16,189,1,17,35,21,189,5,91,7,68,0,4,2,3,6,16,240,1,33,63,58,224,5,156,4,105,1
2017,18,1,8,10,25,219,2,18,68,34,225,3,108,10,59,4,7,3,4,8,15,278,1,35,73,57,258,4,166,5,110,3
2018,4,3,5,4,16,158,1,16,38,22,113,1,68,8,67,0,5,4,0,5,20,190,1,22,64,44,171,3,109,4,78,0
2019,9,0,3,7,26,116,0,11,46,41,133,4,58,1,59,1,5,0,0,0,12,164,1,25,69,63,157,3,91,1,67,0
2020,6,2,3,3,12,103,1,14,55,42,130,0,40,5,58,1,10,0,4,6,13,151,2,25,75,79,155,1,86,2,56,0
