"Odseljeni prebivalci, stari 15 ali veè let, po statusu aktivnosti, državi prihodnjega prebivališèa, spolu in državljanstvu, Slovenija, letno"

"SPOL","DRŽAVA PRIHODNJEGA PREBIVALIŠÈA","2011 Državljani RS Zaposleni","2011 Državljani RS Brezposelni","2012 Državljani RS Zaposleni","2012 Državljani RS Brezposelni","2013 Državljani RS Zaposleni","2013 Državljani RS Brezposelni","2014 Državljani RS Zaposleni","2014 Državljani RS Brezposelni","2015 Državljani RS Zaposleni","2015 Državljani RS Brezposelni","2016 Državljani RS Zaposleni","2016 Državljani RS Brezposelni","2017 Državljani RS Zaposleni","2017 Državljani RS Brezposelni","2018 Državljani RS Zaposleni","2018 Državljani RS Brezposelni","2019 Državljani RS Zaposleni","2019 Državljani RS Brezposelni","2020 Državljani RS Zaposleni","2020 Državljani RS Brezposelni"
"Moški","....Bosna in Hercegovina",44,13,66,19,64,20,21,7,22,11,17,10,27,11,9,6,30,12,14,4
"Moški","....Èrna gora",3,2,8,2,6,1,2,0,1,1,3,0,1,0,2,0,3,0,1,0
"Moški","....Kosovo",9,3,18,1,14,0,9,1,12,1,8,2,16,2,5,1,2,2,5,0
"Moški","....Severna Makedonija",23,1,14,1,18,3,13,5,5,5,5,4,9,3,3,1,8,0,2,2
"Moški","....Srbija",48,14,74,18,56,17,30,7,34,15,23,10,31,12,16,4,38,8,20,4
"Moški","....Avstrija",162,30,280,39,342,61,469,108,478,101,455,92,452,100,327,73,356,59,250,41
"Moški","....Bolgarija",0,0,2,0,4,0,2,1,0,0,1,1,3,0,2,0,7,0,1,0
"Moški","....Francija",12,3,29,3,18,5,12,3,19,4,15,1,15,2,13,3,14,1,15,1
"Moški","....Hrvaška",100,26,114,35,124,43,74,26,91,16,70,15,74,18,40,11,92,16,118,20
"Moški","....Italija",49,11,70,5,40,5,36,8,48,3,39,5,46,5,39,3,47,4,59,3
"Moški","....Nemèija",227,33,445,76,273,54,260,63,300,69,260,70,292,77,211,48,201,28,144,26
"Moški","....Slovaška",7,0,2,0,3,1,3,0,2,0,6,0,4,1,3,0,3,0,3,0
"Moški","....Združeno kraljestvo",32,4,56,4,43,8,67,8,68,17,69,20,78,28,56,13,42,10,21,5
"Moški","....Ruska federacija",5,0,5,3,14,0,11,1,15,2,4,0,10,0,9,0,3,0,5,0
"Moški","....Švica",50,10,120,16,81,19,111,30,155,48,130,37,117,34,95,26,134,18,78,16
"Moški","....Ukrajina",6,1,2,0,2,0,1,0,2,0,0,0,3,2,0,0,3,0,1,1
"Ženske","....Bosna in Hercegovina",12,9,55,7,41,12,11,9,18,2,9,4,7,10,8,4,5,7,12,1
"Ženske","....Èrna gora",5,2,7,0,7,1,3,1,0,0,0,0,2,1,1,1,1,0,1,0
"Ženske","....Kosovo",6,0,8,1,4,2,4,0,5,1,3,2,3,1,1,0,1,1,4,0
"Ženske","....Severna Makedonija",4,1,9,0,7,0,1,1,4,0,6,2,5,0,1,1,2,1,4,2
"Ženske","....Srbija",19,3,42,11,47,14,14,4,23,5,4,8,10,3,16,4,10,7,6,4
"Ženske","....Avstrija",103,9,192,43,217,61,300,92,269,96,273,81,309,89,202,65,212,57,171,40
"Ženske","....Bolgarija",0,1,1,0,2,0,0,0,1,0,0,0,2,0,1,1,1,0,2,0
"Ženske","....Francija",12,2,22,2,14,1,16,4,17,7,19,2,29,4,11,3,15,4,9,2
"Ženske","....Hrvaška",51,12,108,21,93,22,46,21,45,20,47,14,63,19,56,13,69,16,107,12
"Ženske","....Italija",47,12,74,4,42,6,35,12,41,11,26,9,53,4,46,2,57,7,85,5
"Ženske","....Nemèija",195,33,388,60,254,48,179,61,186,72,163,48,168,57,129,37,116,35,94,25
"Ženske","....Slovaška",0,1,0,0,0,0,1,0,1,1,2,2,3,0,2,0,1,0,1,0
"Ženske","....Združeno kraljestvo",33,4,48,6,30,4,46,13,69,22,58,22,73,24,71,14,40,7,24,8
"Ženske","....Ruska federacija",1,0,3,0,4,0,0,0,4,0,2,0,4,0,3,0,1,0,2,0
"Ženske","....Švica",39,3,86,10,60,10,65,16,76,36,61,31,80,35,62,17,61,19,30,14
"Ženske","....Ukrajina",1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
